"","BIRD_I_corrStay_B1","BIRD_I_corrStay_B2","BIRD_I_corrStay_B3","BIRD_I_corrStay_B4","BIRD_I_corrShift_B1","BIRD_I_corrShift_B2","BIRD_I_corrShift_B3","BIRD_I_corrShift_B4","BIRD_I_incorrStay_B1","BIRD_I_incorrStay_B2","BIRD_I_incorrStay_B3","BIRD_I_incorrStay_B4","BIRD_I_incorrShift_B1","BIRD_I_incorrShift_B2","BIRD_I_incorrShift_B3","BIRD_I_incorrShift_B4"
"s001",0.364583333333333,0.395833333333333,0.4375,0.447916666666667,0.1875,0.135416666666667,0.0729166666666667,0.09375,0.3125,0.364583333333333,0.4375,0.416666666666667,0.135416666666667,0.104166666666667,0.0520833333333333,0.0416666666666667
"s002",0.21875,0.375,0.375,0.322916666666667,0.21875,0.114583333333333,0.135416666666667,0.239583333333333,0.291666666666667,0.364583333333333,0.354166666666667,0.28125,0.270833333333333,0.145833333333333,0.135416666666667,0.15625
"s003",0.40625,0.427083333333333,0.427083333333333,0.46875,0.21875,0.104166666666667,0.135416666666667,0.0833333333333333,0.270833333333333,0.40625,0.375,0.40625,0.104166666666667,0.0625,0.0625,0.0416666666666667
"s004",0.322916666666667,0.28125,0.270833333333333,0.354166666666667,0.229166666666667,0.229166666666667,0.239583333333333,0.135416666666667,0.239583333333333,0.239583333333333,0.25,0.333333333333333,0.166666666666667,0.197916666666667,0.21875,0.125
"s005",0.364583333333333,0.364583333333333,0.458333333333333,0.34375,0.177083333333333,0.1875,0.166666666666667,0.1875,0.3125,0.322916666666667,0.333333333333333,0.322916666666667,0.145833333333333,0.125,0.0416666666666667,0.145833333333333
"s006",0.395833333333333,0.385416666666667,0.364583333333333,0.291666666666667,0.15625,0.270833333333333,0.239583333333333,0.28125,0.34375,0.229166666666667,0.260416666666667,0.229166666666667,0.104166666666667,0.114583333333333,0.135416666666667,0.197916666666667
"s007",0.395833333333333,0.364583333333333,0.395833333333333,NA,0.166666666666667,0.177083333333333,0.1875,NA,0.3125,0.322916666666667,0.302083333333333,NA,0.125,0.114583333333333,0.09375,NA
"s009",0.4375,0.28125,0.302083333333333,0.458333333333333,0.09375,0.21875,0.1875,0.0625,0.395833333333333,0.28125,0.322916666666667,0.447916666666667,0.0729166666666667,0.21875,0.1875,0.03125
"s010",0.291666666666667,0.395833333333333,0.416666666666667,0.40625,0.197916666666667,0.09375,0.0833333333333333,0.135416666666667,0.322916666666667,0.385416666666667,0.395833333333333,0.364583333333333,0.1875,0.114583333333333,0.0729166666666667,0.09375
"s011",0.333333333333333,0.3125,0.447916666666667,0.375,0.21875,0.229166666666667,0.145833333333333,0.177083333333333,0.302083333333333,0.270833333333333,0.364583333333333,0.34375,0.145833333333333,0.1875,0.0416666666666667,0.104166666666667
"s012",0.416666666666667,0.322916666666667,0.28125,0.34375,0.166666666666667,0.260416666666667,0.229166666666667,0.229166666666667,0.322916666666667,0.239583333333333,0.28125,0.260416666666667,0.09375,0.177083333333333,0.208333333333333,0.166666666666667
"s013",0.354166666666667,0.354166666666667,0.260416666666667,0.333333333333333,0.229166666666667,0.208333333333333,0.135416666666667,0.197916666666667,0.28125,0.3125,0.354166666666667,0.3125,0.135416666666667,0.125,0.239583333333333,0.145833333333333
"s014",0.333333333333333,0.21875,0.270833333333333,0.25,0.208333333333333,0.21875,0.28125,0.21875,0.302083333333333,0.28125,0.208333333333333,0.291666666666667,0.15625,0.28125,0.239583333333333,0.239583333333333
"s015",0.291666666666667,0.385416666666667,0.239583333333333,0.270833333333333,0.28125,0.208333333333333,0.1875,0.197916666666667,0.21875,0.291666666666667,0.322916666666667,0.291666666666667,0.208333333333333,0.104166666666667,0.25,0.239583333333333
"s016",0.322916666666667,0.322916666666667,0.34375,0.239583333333333,0.21875,0.197916666666667,0.135416666666667,0.145833333333333,0.28125,0.291666666666667,0.364583333333333,0.34375,0.135416666666667,0.166666666666667,0.15625,0.25
"s017",0.333333333333333,0.260416666666667,0.3125,0.322916666666667,0.1875,0.21875,0.177083333333333,0.291666666666667,0.3125,0.291666666666667,0.322916666666667,0.229166666666667,0.15625,0.229166666666667,0.1875,0.15625
"s018",0.25,0.385416666666667,0.322916666666667,0.291666666666667,0.25,0.125,0.229166666666667,0.1875,0.260416666666667,0.364583333333333,0.25,0.291666666666667,0.239583333333333,0.114583333333333,0.1875,0.229166666666667
"s019",0.333333333333333,0.354166666666667,0.3125,0.333333333333333,0.104166666666667,0.145833333333333,0.208333333333333,0.03125,0.375,0.354166666666667,0.291666666666667,0.489583333333333,0.1875,0.135416666666667,0.166666666666667,0.145833333333333
"s020",0.364583333333333,0.354166666666667,0.270833333333333,0.395833333333333,0.197916666666667,0.125,0.229166666666667,0.114583333333333,0.322916666666667,0.385416666666667,0.260416666666667,0.375,0.114583333333333,0.125,0.239583333333333,0.104166666666667
"s021",0.364583333333333,0.364583333333333,0.375,0.4375,0.21875,0.15625,0.21875,0.114583333333333,0.239583333333333,0.354166666666667,0.28125,0.375,0.145833333333333,0.114583333333333,0.09375,0.0520833333333333
"s022",0.333333333333333,0.333333333333333,0.385416666666667,0.302083333333333,0.239583333333333,0.229166666666667,0.208333333333333,0.239583333333333,0.25,0.260416666666667,0.28125,0.270833333333333,0.177083333333333,0.177083333333333,0.125,0.1875
"s023",0.3125,0.260416666666667,0.229166666666667,0.270833333333333,0.239583333333333,0.302083333333333,0.260416666666667,0.229166666666667,0.260416666666667,0.208333333333333,0.239583333333333,0.270833333333333,0.1875,0.21875,0.270833333333333,0.229166666666667
"s024",0.395833333333333,0.416666666666667,0.416666666666667,0.354166666666667,0.15625,0.270833333333333,0.135416666666667,0.239583333333333,0.34375,0.21875,0.34375,0.25,0.104166666666667,0.0833333333333333,0.09375,0.145833333333333
"s025",0.375,0.385416666666667,0.354166666666667,0.416666666666667,0.1875,0.15625,0.1875,0.125,0.3125,0.354166666666667,0.3125,0.385416666666667,0.125,0.104166666666667,0.145833333333333,0.0729166666666667
"s027",0.364583333333333,0.302083333333333,0.3125,0.291666666666667,0.3125,0.15625,0.197916666666667,0.229166666666667,0.1875,0.302083333333333,0.291666666666667,0.270833333333333,0.114583333333333,0.197916666666667,0.1875,0.177083333333333
"s028",0.46875,0.322916666666667,0.25,0.291666666666667,0.0833333333333333,0.208333333333333,0.229166666666667,0.28125,0.40625,0.302083333333333,0.270833333333333,0.239583333333333,0.0416666666666667,0.166666666666667,0.229166666666667,0.1875
"s029",0.270833333333333,0.34375,0.354166666666667,0.354166666666667,0.260416666666667,0.21875,0.239583333333333,0.177083333333333,0.25,0.28125,0.260416666666667,0.322916666666667,0.21875,0.135416666666667,0.145833333333333,0.135416666666667
"s030",0.354166666666667,0.385416666666667,0.28125,0.302083333333333,0.1875,0.09375,0.166666666666667,0.260416666666667,0.302083333333333,0.385416666666667,0.34375,0.25,0.15625,0.135416666666667,0.208333333333333,0.1875
"s031",0.3125,0.395833333333333,0.3125,0.40625,0.197916666666667,0.1875,0.197916666666667,0.177083333333333,0.291666666666667,0.302083333333333,0.302083333333333,0.3125,0.1875,0.104166666666667,0.1875,0.09375
"s032",0.291666666666667,0.375,0.25,0.364583333333333,0.208333333333333,0.145833333333333,0.239583333333333,0.21875,0.28125,0.354166666666667,0.260416666666667,0.28125,0.1875,0.125,0.239583333333333,0.135416666666667
"s033",0.322916666666667,0.229166666666667,0.270833333333333,0.28125,0.21875,0.25,0.260416666666667,0.15625,0.28125,0.260416666666667,0.239583333333333,0.354166666666667,0.177083333333333,0.25,0.229166666666667,0.208333333333333
"s034",0.270833333333333,0.4375,0.364583333333333,0.25,0.229166666666667,0.166666666666667,0.1875,0.145833333333333,0.260416666666667,0.322916666666667,0.302083333333333,0.364583333333333,0.229166666666667,0.0729166666666667,0.145833333333333,0.229166666666667
"s035",0.375,0.395833333333333,0.34375,0.354166666666667,0.125,0.135416666666667,0.1875,0.0833333333333333,0.385416666666667,0.354166666666667,0.302083333333333,0.395833333333333,0.104166666666667,0.104166666666667,0.145833333333333,0.125
"s036",0.447916666666667,0.375,0.333333333333333,0.416666666666667,0.125,0.114583333333333,0.21875,0.03125,0.364583333333333,0.385416666666667,0.270833333333333,0.46875,0.0625,0.125,0.166666666666667,0.0729166666666667
"s037",0.364583333333333,0.364583333333333,0.375,0.375,0.239583333333333,0.208333333333333,0.197916666666667,0.229166666666667,0.260416666666667,0.291666666666667,0.291666666666667,0.270833333333333,0.135416666666667,0.125,0.135416666666667,0.125
"s038",0.4375,0.28125,0.322916666666667,0.28125,0.145833333333333,0.270833333333333,0.25,0.177083333333333,0.322916666666667,0.21875,0.239583333333333,0.3125,0.0729166666666667,0.229166666666667,0.145833333333333,0.1875
"s039",0.291666666666667,0.34375,0.416666666666667,0.385416666666667,0.25,0.177083333333333,0.239583333333333,0.21875,0.229166666666667,0.3125,0.260416666666667,0.260416666666667,0.229166666666667,0.166666666666667,0.0833333333333333,0.125
"s101",0.28125,0.447916666666667,0.385416666666667,0.333333333333333,0.145833333333333,0.15625,0.208333333333333,0.145833333333333,0.354166666666667,0.322916666666667,0.291666666666667,0.354166666666667,0.208333333333333,0.0729166666666667,0.114583333333333,0.166666666666667
"s102",0.427083333333333,0.302083333333333,0.25,0.416666666666667,0.125,0.21875,0.291666666666667,0.114583333333333,0.364583333333333,0.270833333333333,0.21875,0.385416666666667,0.0833333333333333,0.208333333333333,0.21875,0.0833333333333333
"s103",0.4375,0.3125,0.333333333333333,0.364583333333333,0.125,0.145833333333333,0.239583333333333,0.1875,0.375,0.34375,0.260416666666667,0.3125,0.0625,0.1875,0.166666666666667,0.125
"s104",0.302083333333333,0.322916666666667,NA,NA,0.15625,0.197916666666667,NA,NA,0.322916666666667,0.3125,NA,NA,0.208333333333333,0.145833333333333,NA,NA
"s105",0.322916666666667,0.333333333333333,0.385416666666667,0.364583333333333,0.177083333333333,0.1875,0.229166666666667,0.21875,0.322916666666667,0.302083333333333,0.260416666666667,0.260416666666667,0.166666666666667,0.15625,0.125,0.15625
"s106",0.354166666666667,0.333333333333333,0.302083333333333,0.364583333333333,0.21875,0.1875,0.177083333333333,0.1875,0.28125,0.322916666666667,0.322916666666667,0.302083333333333,0.145833333333333,0.15625,0.1875,0.135416666666667
"s107",0.28125,0.302083333333333,0.260416666666667,0.354166666666667,0.25,0.177083333333333,0.21875,0.145833333333333,0.25,0.3125,0.291666666666667,0.34375,0.21875,0.208333333333333,0.229166666666667,0.15625
"s108",0.25,0.322916666666667,0.34375,0.260416666666667,0.260416666666667,0.208333333333333,0.260416666666667,0.229166666666667,0.21875,0.291666666666667,0.239583333333333,0.25,0.260416666666667,0.166666666666667,0.15625,0.260416666666667
"s109",0.322916666666667,0.302083333333333,0.375,0.375,0.25,0.125,0.166666666666667,0.135416666666667,0.25,0.354166666666667,0.333333333333333,0.375,0.15625,0.197916666666667,0.114583333333333,0.114583333333333
"s110",0.395833333333333,0.333333333333333,0.364583333333333,0.385416666666667,0.0625,0.197916666666667,0.177083333333333,0.15625,0.427083333333333,0.291666666666667,0.3125,0.354166666666667,0.114583333333333,0.166666666666667,0.145833333333333,0.104166666666667
"s111",0.354166666666667,0.302083333333333,0.364583333333333,0.354166666666667,0.15625,0.333333333333333,0.135416666666667,0.197916666666667,0.322916666666667,0.15625,0.364583333333333,0.3125,0.15625,0.208333333333333,0.135416666666667,0.135416666666667
"s112",0.333333333333333,0.385416666666667,0.21875,0.34375,0.197916666666667,0.166666666666667,0.1875,0.208333333333333,0.302083333333333,0.322916666666667,0.322916666666667,0.28125,0.166666666666667,0.125,0.270833333333333,0.15625
"s113",0.40625,0.416666666666667,0.291666666666667,0.416666666666667,0.1875,0.125,0.197916666666667,0.114583333333333,0.291666666666667,0.354166666666667,0.291666666666667,0.385416666666667,0.114583333333333,0.0625,0.21875,0.0833333333333333
"s114",0.333333333333333,0.3125,0.333333333333333,0.302083333333333,0.177083333333333,0.239583333333333,0.260416666666667,0.197916666666667,0.322916666666667,0.25,0.25,0.322916666666667,0.15625,0.177083333333333,0.15625,0.15625
"s115",0.34375,0.291666666666667,0.385416666666667,0.395833333333333,0.21875,0.208333333333333,0.15625,0.15625,0.28125,0.28125,0.333333333333333,0.34375,0.15625,0.21875,0.114583333333333,0.104166666666667
"s116",0.34375,0.270833333333333,0.291666666666667,0.395833333333333,0.291666666666667,0.239583333333333,0.25,0.270833333333333,0.208333333333333,0.270833333333333,0.239583333333333,0.229166666666667,0.125,0.21875,0.208333333333333,0.09375
"s117",0.354166666666667,0.333333333333333,0.375,0.40625,0.135416666666667,0.166666666666667,0.135416666666667,0.145833333333333,0.364583333333333,0.34375,0.364583333333333,0.333333333333333,0.135416666666667,0.145833333333333,0.125,0.114583333333333
"s118",0.260416666666667,0.354166666666667,0.3125,0.28125,0.3125,0.25,0.197916666666667,0.28125,0.166666666666667,0.270833333333333,0.291666666666667,0.229166666666667,0.25,0.125,0.177083333333333,0.208333333333333
"s119",0.25,0.270833333333333,0.354166666666667,0.354166666666667,0.177083333333333,0.21875,0.1875,0.145833333333333,0.3125,0.270833333333333,0.291666666666667,0.333333333333333,0.260416666666667,0.229166666666667,0.125,0.15625
"s120",0.447916666666667,0.395833333333333,0.479166666666667,0.46875,0.0625,0.114583333333333,0.03125,0.09375,0.427083333333333,0.385416666666667,0.46875,0.40625,0.0520833333333333,0.0833333333333333,0.0208333333333333,0.03125
"s121",0.302083333333333,0.302083333333333,0.354166666666667,0.395833333333333,0.197916666666667,0.229166666666667,0.25,0.145833333333333,0.302083333333333,0.270833333333333,0.25,0.354166666666667,0.197916666666667,0.197916666666667,0.145833333333333,0.104166666666667
"s122",0.354166666666667,0.28125,0.4375,0.34375,0.25,0.197916666666667,0.1875,0.166666666666667,0.239583333333333,0.302083333333333,0.322916666666667,0.333333333333333,0.15625,0.21875,0.0520833333333333,0.15625
"s123",0.322916666666667,0.385416666666667,0.333333333333333,0.333333333333333,0.135416666666667,0.166666666666667,0.114583333333333,0.15625,0.322916666666667,0.322916666666667,0.385416666666667,0.354166666666667,0.197916666666667,0.125,0.135416666666667,0.145833333333333
"s124",0.416666666666667,0.354166666666667,0.416666666666667,0.25,0.125,0.145833333333333,0.09375,0.21875,0.364583333333333,0.354166666666667,0.395833333333333,0.28125,0.09375,0.145833333333333,0.09375,0.239583333333333
"s125",0.333333333333333,0.395833333333333,0.354166666666667,0.458333333333333,0.0833333333333333,0.0729166666666667,0.145833333333333,0.0625,0.416666666666667,0.447916666666667,0.375,0.40625,0.166666666666667,0.0833333333333333,0.125,0.0625
"s126",0.40625,0.239583333333333,0.25,0.34375,0.177083333333333,0.208333333333333,0.239583333333333,0.177083333333333,0.3125,0.302083333333333,0.270833333333333,0.322916666666667,0.104166666666667,0.25,0.229166666666667,0.15625
"s127",0.364583333333333,0.3125,0.28125,0.395833333333333,0.270833333333333,0.21875,0.260416666666667,0.270833333333333,0.229166666666667,0.302083333333333,0.229166666666667,0.229166666666667,0.114583333333333,0.166666666666667,0.229166666666667,0.104166666666667
"s128",0.375,0.364583333333333,0.291666666666667,0.40625,0.229166666666667,0.229166666666667,0.125,0.15625,0.270833333333333,0.25,0.375,0.333333333333333,0.114583333333333,0.135416666666667,0.197916666666667,0.09375
"s129",0.333333333333333,0.270833333333333,0.34375,0.260416666666667,0.1875,0.21875,0.1875,0.166666666666667,0.291666666666667,0.25,0.302083333333333,0.28125,0.135416666666667,0.177083333333333,0.114583333333333,0.208333333333333
