"","LSB_I_corrStay_B1","LSB_I_corrStay_B2","LSB_I_corrStay_B3","LSB_I_corrStay_B4","LSB_I_corrShift_B1","LSB_I_corrShift_B2","LSB_I_corrShift_B3","LSB_I_corrShift_B4","LSB_I_incorrStay_B1","LSB_I_incorrStay_B2","LSB_I_incorrStay_B3","LSB_I_incorrStay_B4","LSB_I_incorrShift_B1","LSB_I_incorrShift_B2","LSB_I_incorrShift_B3","LSB_I_incorrShift_B4"
"s001",0.4375,0.302083333333333,0.322916666666667,0.46875,0.1875,0.208333333333333,0.260416666666667,0.09375,0.302083333333333,0.28125,0.260416666666667,0.40625,0.0729166666666667,0.208333333333333,0.15625,0.03125
"s002",0.40625,0.416666666666667,0.375,0.427083333333333,0.177083333333333,0.125,0.197916666666667,0.166666666666667,0.333333333333333,0.375,0.322916666666667,0.322916666666667,0.0833333333333333,0.0833333333333333,0.104166666666667,0.0833333333333333
"s003",0.28125,0.333333333333333,0.40625,0.3125,0.208333333333333,0.1875,0.197916666666667,0.208333333333333,0.28125,0.3125,0.291666666666667,0.28125,0.229166666666667,0.15625,0.104166666666667,0.197916666666667
"s004",0.34375,0.385416666666667,0.28125,0.322916666666667,0.25,0.260416666666667,0.239583333333333,0.25,0.239583333333333,0.239583333333333,0.25,0.239583333333333,0.145833333333333,0.0833333333333333,0.229166666666667,0.166666666666667
"s005",0.427083333333333,0.364583333333333,0.333333333333333,0.375,0.15625,0.135416666666667,0.09375,0.166666666666667,0.34375,0.364583333333333,0.416666666666667,0.322916666666667,0.0729166666666667,0.135416666666667,0.15625,0.135416666666667
"s006",0.322916666666667,0.375,0.28125,0.354166666666667,0.25,0.229166666666667,0.25,0.166666666666667,0.25,0.260416666666667,0.25,0.3125,0.177083333333333,0.135416666666667,0.21875,0.15625
"s007",0.375,0.447916666666667,0.375,0.302083333333333,0.166666666666667,0.1875,0.177083333333333,0.145833333333333,0.34375,0.322916666666667,0.3125,0.364583333333333,0.114583333333333,0.0416666666666667,0.135416666666667,0.177083333333333
"s009",0.40625,0.333333333333333,0.354166666666667,0.40625,0.229166666666667,0.25,0.145833333333333,0.114583333333333,0.270833333333333,0.260416666666667,0.333333333333333,0.375,0.0833333333333333,0.145833333333333,0.15625,0.104166666666667
"s010",0.395833333333333,0.416666666666667,0.34375,0.385416666666667,0.15625,0.177083333333333,0.177083333333333,0.135416666666667,0.333333333333333,0.3125,0.3125,0.354166666666667,0.114583333333333,0.0729166666666667,0.15625,0.114583333333333
"s011",0.291666666666667,0.302083333333333,0.34375,0.385416666666667,0.1875,0.1875,0.166666666666667,0.25,0.322916666666667,0.322916666666667,0.354166666666667,0.239583333333333,0.197916666666667,0.1875,0.135416666666667,0.125
"s012",0.34375,0.40625,0.322916666666667,0.395833333333333,0.239583333333333,0.145833333333333,0.197916666666667,0.166666666666667,0.270833333333333,0.354166666666667,0.291666666666667,0.34375,0.145833333333333,0.09375,0.1875,0.09375
"s013",0.270833333333333,0.364583333333333,0.354166666666667,0.333333333333333,0.229166666666667,0.1875,0.197916666666667,0.260416666666667,0.28125,0.3125,0.28125,0.25,0.21875,0.135416666666667,0.166666666666667,0.15625
"s014",0.302083333333333,0.260416666666667,0.291666666666667,0.239583333333333,0.21875,0.208333333333333,0.260416666666667,0.302083333333333,0.291666666666667,0.270833333333333,0.229166666666667,0.1875,0.1875,0.260416666666667,0.208333333333333,0.270833333333333
"s015",0.322916666666667,0.28125,0.322916666666667,0.333333333333333,0.197916666666667,0.322916666666667,0.260416666666667,0.177083333333333,0.302083333333333,0.197916666666667,0.239583333333333,0.322916666666667,0.177083333333333,0.197916666666667,0.177083333333333,0.166666666666667
"s016",0.270833333333333,0.302083333333333,0.229166666666667,0.395833333333333,0.177083333333333,0.260416666666667,0.25,0.125,0.291666666666667,0.229166666666667,0.25,0.364583333333333,0.239583333333333,0.177083333333333,0.270833333333333,0.104166666666667
"s017",0.354166666666667,0.3125,0.1875,0.28125,0.260416666666667,0.197916666666667,0.260416666666667,0.208333333333333,0.239583333333333,0.3125,0.239583333333333,0.291666666666667,0.135416666666667,0.177083333333333,0.302083333333333,0.208333333333333
"s018",0.28125,0.322916666666667,0.28125,0.302083333333333,0.270833333333333,0.21875,0.21875,0.270833333333333,0.229166666666667,0.302083333333333,0.28125,0.229166666666667,0.208333333333333,0.15625,0.197916666666667,0.197916666666667
"s019",0.447916666666667,0.416666666666667,0.489583333333333,0.489583333333333,0.0833333333333333,0.0833333333333333,0,0.0208333333333333,0.395833333333333,0.416666666666667,0.5,0.489583333333333,0.0625,0.0833333333333333,0.0104166666666667,0
"s020",0.385416666666667,0.291666666666667,0.375,0.395833333333333,0.239583333333333,0.25,0.1875,0.166666666666667,0.229166666666667,0.239583333333333,0.291666666666667,0.333333333333333,0.135416666666667,0.197916666666667,0.135416666666667,0.104166666666667
"s021",0.3125,0.270833333333333,0.375,0.302083333333333,0.239583333333333,0.21875,0.322916666666667,0.28125,0.270833333333333,0.25,0.166666666666667,0.197916666666667,0.145833333333333,0.208333333333333,0.125,0.1875
"s022",0.458333333333333,0.333333333333333,0.354166666666667,0.427083333333333,0.135416666666667,0.21875,0.135416666666667,0.09375,0.364583333333333,0.28125,0.375,0.416666666666667,0.0416666666666667,0.166666666666667,0.135416666666667,0.0625
"s023",0.427083333333333,0.229166666666667,0.302083333333333,0.302083333333333,0.1875,0.333333333333333,0.25,0.1875,0.3125,0.166666666666667,0.239583333333333,0.3125,0.0729166666666667,0.270833333333333,0.208333333333333,0.177083333333333
"s024",0.40625,0.322916666666667,0.28125,0.385416666666667,0.15625,0.239583333333333,0.197916666666667,0.21875,0.322916666666667,0.239583333333333,0.28125,0.270833333333333,0.114583333333333,0.177083333333333,0.21875,0.114583333333333
"s025",0.395833333333333,0.375,0.28125,0.427083333333333,0.197916666666667,0.1875,0.166666666666667,0.114583333333333,0.28125,0.3125,0.322916666666667,0.375,0.114583333333333,0.125,0.229166666666667,0.0833333333333333
"s026",0.385416666666667,0.375,0.34375,0.291666666666667,0.208333333333333,0.21875,0.177083333333333,0.25,0.270833333333333,0.270833333333333,0.322916666666667,0.25,0.135416666666667,0.135416666666667,0.135416666666667,0.208333333333333
"s027",0.416666666666667,0.395833333333333,0.354166666666667,0.364583333333333,0.145833333333333,0.270833333333333,0.229166666666667,0.21875,0.333333333333333,0.239583333333333,0.28125,0.28125,0.0729166666666667,0.0833333333333333,0.125,0.125
"s028",0.260416666666667,0.270833333333333,0.302083333333333,0.34375,0.291666666666667,0.208333333333333,0.1875,0.239583333333333,0.21875,0.291666666666667,0.3125,0.270833333333333,0.229166666666667,0.229166666666667,0.197916666666667,0.145833333333333
"s029",0.354166666666667,0.291666666666667,0.333333333333333,0.25,0.15625,0.229166666666667,0.208333333333333,0.25,0.34375,0.25,0.291666666666667,0.25,0.145833333333333,0.21875,0.145833333333333,0.25
"s030",0.239583333333333,0.260416666666667,0.333333333333333,0.489583333333333,0.239583333333333,0.1875,0.270833333333333,0.0520833333333333,0.25,0.302083333333333,0.229166666666667,0.427083333333333,0.270833333333333,0.25,0.166666666666667,0.03125
"s031",0.239583333333333,0.270833333333333,0.34375,0.385416666666667,0.197916666666667,0.291666666666667,0.21875,0.21875,0.291666666666667,0.197916666666667,0.28125,0.260416666666667,0.25,0.208333333333333,0.135416666666667,0.135416666666667
"s032",0.333333333333333,0.270833333333333,0.333333333333333,0.270833333333333,0.208333333333333,0.260416666666667,0.15625,0.208333333333333,0.260416666666667,0.260416666666667,0.354166666666667,0.25,0.177083333333333,0.208333333333333,0.15625,0.239583333333333
"s033",0.28125,0.34375,0.28125,0.322916666666667,0.239583333333333,0.1875,0.177083333333333,0.260416666666667,0.260416666666667,0.291666666666667,0.322916666666667,0.25,0.208333333333333,0.177083333333333,0.21875,0.166666666666667
"s034",0.385416666666667,0.291666666666667,0.3125,0.28125,0.177083333333333,0.229166666666667,0.21875,0.229166666666667,0.333333333333333,0.260416666666667,0.270833333333333,0.260416666666667,0.104166666666667,0.21875,0.1875,0.229166666666667
"s035",0.333333333333333,0.40625,0.395833333333333,0.3125,0.28125,0.177083333333333,0.125,0.302083333333333,0.21875,0.291666666666667,0.385416666666667,0.208333333333333,0.135416666666667,0.09375,0.09375,0.166666666666667
"s036",0.3125,0.375,0.354166666666667,0.385416666666667,0.239583333333333,0.239583333333333,0.208333333333333,0.125,0.25,0.28125,0.302083333333333,0.364583333333333,0.197916666666667,0.104166666666667,0.135416666666667,0.114583333333333
"s037",0.260416666666667,0.3125,0.364583333333333,0.34375,0.28125,0.25,0.166666666666667,0.135416666666667,0.21875,0.260416666666667,0.3125,0.364583333333333,0.239583333333333,0.177083333333333,0.15625,0.15625
"s038",0.34375,0.375,0.40625,0.3125,0.260416666666667,0.25,0.229166666666667,0.21875,0.208333333333333,0.239583333333333,0.239583333333333,0.302083333333333,0.145833333333333,0.09375,0.09375,0.166666666666667
"s039",0.427083333333333,0.427083333333333,0.40625,0.375,0.208333333333333,0.270833333333333,0.21875,0.3125,0.28125,0.239583333333333,0.28125,0.166666666666667,0.0625,0.0625,0.09375,0.125
"s101",0.375,0.34375,0.427083333333333,0.385416666666667,0.229166666666667,0.15625,0.125,0.21875,0.270833333333333,0.34375,0.375,0.270833333333333,0.125,0.15625,0.0729166666666667,0.125
"s102",0.354166666666667,0.385416666666667,0.4375,0.34375,0.1875,0.1875,0.229166666666667,0.15625,0.322916666666667,0.302083333333333,0.270833333333333,0.333333333333333,0.135416666666667,0.114583333333333,0.0625,0.166666666666667
"s103",0.40625,0.416666666666667,0.395833333333333,0.385416666666667,0.15625,0.15625,0.1875,0.135416666666667,0.34375,0.333333333333333,0.302083333333333,0.364583333333333,0.0729166666666667,0.09375,0.104166666666667,0.09375
"s104",0.354166666666667,0.34375,0.354166666666667,0.427083333333333,0.291666666666667,0.260416666666667,0.21875,0.166666666666667,0.197916666666667,0.21875,0.260416666666667,0.322916666666667,0.145833333333333,0.145833333333333,0.135416666666667,0.0833333333333333
"s105",0.375,0.208333333333333,0.239583333333333,0.28125,0.114583333333333,0.270833333333333,0.25,0.125,0.375,0.239583333333333,0.25,0.34375,0.114583333333333,0.28125,0.25,0.208333333333333
"s106",0.333333333333333,0.427083333333333,0.322916666666667,0.25,0.21875,0.145833333333333,0.302083333333333,0.28125,0.260416666666667,0.34375,0.197916666666667,0.229166666666667,0.166666666666667,0.0729166666666667,0.177083333333333,0.239583333333333
"s107",0.395833333333333,0.34375,0.3125,0.270833333333333,0.166666666666667,0.239583333333333,0.1875,0.197916666666667,0.3125,0.260416666666667,0.3125,0.302083333333333,0.125,0.15625,0.1875,0.229166666666667
"s108",0.302083333333333,0.291666666666667,0.302083333333333,0.375,0.166666666666667,0.21875,0.208333333333333,0.0625,0.322916666666667,0.28125,0.291666666666667,0.427083333333333,0.197916666666667,0.208333333333333,0.197916666666667,0.135416666666667
"s109",0.333333333333333,0.34375,0.364583333333333,0.354166666666667,0.25,0.208333333333333,0.1875,0.208333333333333,0.25,0.25,0.291666666666667,0.3125,0.145833333333333,0.15625,0.125,0.125
"s110",0.364583333333333,0.447916666666667,0.302083333333333,0.302083333333333,0.229166666666667,0.177083333333333,0.15625,0.260416666666667,0.28125,0.322916666666667,0.333333333333333,0.239583333333333,0.114583333333333,0.0520833333333333,0.208333333333333,0.197916666666667
"s111",0.333333333333333,0.395833333333333,0.385416666666667,0.375,0.166666666666667,0.166666666666667,0.197916666666667,0.125,0.333333333333333,0.34375,0.302083333333333,0.375,0.166666666666667,0.09375,0.114583333333333,0.125
"s112",0.364583333333333,0.4375,0.416666666666667,0.375,0.114583333333333,0.15625,0.197916666666667,0.135416666666667,0.385416666666667,0.34375,0.3125,0.375,0.135416666666667,0.0625,0.0729166666666667,0.114583333333333
"s113",0.375,0.447916666666667,0.354166666666667,0.427083333333333,0.166666666666667,0.104166666666667,0.145833333333333,0.09375,0.322916666666667,0.40625,0.34375,0.40625,0.135416666666667,0.03125,0.135416666666667,0.0729166666666667
"s114",0.291666666666667,0.3125,0.34375,0.34375,0.177083333333333,0.21875,0.239583333333333,0.21875,0.302083333333333,0.302083333333333,0.260416666666667,0.270833333333333,0.21875,0.15625,0.15625,0.166666666666667
"s115",0.270833333333333,0.21875,0.333333333333333,0.34375,0.229166666666667,0.270833333333333,0.291666666666667,0.197916666666667,0.28125,0.239583333333333,0.208333333333333,0.291666666666667,0.197916666666667,0.239583333333333,0.125,0.15625
"s116",0.34375,0.364583333333333,0.270833333333333,0.322916666666667,0.25,0.177083333333333,0.25,0.197916666666667,0.25,0.322916666666667,0.229166666666667,0.291666666666667,0.15625,0.135416666666667,0.239583333333333,0.166666666666667
"s117",0.364583333333333,0.333333333333333,0.3125,0.364583333333333,0.197916666666667,0.208333333333333,0.197916666666667,0.1875,0.302083333333333,0.28125,0.3125,0.322916666666667,0.135416666666667,0.15625,0.177083333333333,0.125
"s118",0.385416666666667,0.4375,0.416666666666667,0.46875,0.260416666666667,0.125,0.145833333333333,0.0833333333333333,0.21875,0.375,0.34375,0.40625,0.114583333333333,0.0625,0.09375,0.0416666666666667
"s119",0.260416666666667,0.40625,0.40625,0.302083333333333,0.21875,0.208333333333333,0.135416666666667,0.166666666666667,0.302083333333333,0.260416666666667,0.354166666666667,0.322916666666667,0.208333333333333,0.104166666666667,0.09375,0.208333333333333
"s120",0.427083333333333,0.40625,0.458333333333333,0.333333333333333,0.166666666666667,0.15625,0.114583333333333,0.28125,0.3125,0.34375,0.395833333333333,0.229166666666667,0.09375,0.09375,0.03125,0.145833333333333
"s121",0.364583333333333,0.302083333333333,0.333333333333333,0.1875,0.197916666666667,0.239583333333333,0.166666666666667,0.229166666666667,0.28125,0.25,0.34375,0.270833333333333,0.15625,0.197916666666667,0.15625,0.3125
"s122",0.385416666666667,0.375,0.291666666666667,0.3125,0.125,0.25,0.208333333333333,0.291666666666667,0.375,0.260416666666667,0.302083333333333,0.197916666666667,0.114583333333333,0.114583333333333,0.177083333333333,0.197916666666667
"s123",0.291666666666667,0.416666666666667,0.479166666666667,0.385416666666667,0.135416666666667,0.114583333333333,0.0104166666666667,0.145833333333333,0.34375,0.375,0.479166666666667,0.34375,0.166666666666667,0.09375,0.03125,0.125
"s124",0.364583333333333,0.375,0.322916666666667,0.354166666666667,0.15625,0.21875,0.1875,0.135416666666667,0.34375,0.270833333333333,0.291666666666667,0.354166666666667,0.135416666666667,0.135416666666667,0.197916666666667,0.15625
"s125",0.34375,0.427083333333333,0.447916666666667,0.40625,0.302083333333333,0.0208333333333333,0.0520833333333333,0.0520833333333333,0.1875,0.5,0.447916666666667,0.46875,0.166666666666667,0.0520833333333333,0.0416666666666667,0.0729166666666667
"s126",0.385416666666667,0.375,0.40625,0.322916666666667,0.145833333333333,0.177083333333333,0.145833333333333,0.145833333333333,0.333333333333333,0.333333333333333,0.333333333333333,0.375,0.135416666666667,0.114583333333333,0.09375,0.15625
"s127",0.322916666666667,0.34375,0.34375,0.291666666666667,0.239583333333333,0.25,0.208333333333333,0.229166666666667,0.260416666666667,0.239583333333333,0.28125,0.270833333333333,0.166666666666667,0.135416666666667,0.166666666666667,0.197916666666667
"s128",0.291666666666667,0.375,0.322916666666667,0.354166666666667,0.208333333333333,0.28125,0.25,0.21875,0.229166666666667,0.21875,0.239583333333333,0.260416666666667,0.15625,0.104166666666667,0.145833333333333,0.135416666666667
"s129",0.28125,0.333333333333333,0.177083333333333,0.239583333333333,0.25,0.1875,0.197916666666667,0.197916666666667,0.208333333333333,0.270833333333333,0.260416666666667,0.260416666666667,0.166666666666667,0.145833333333333,0.270833333333333,0.21875
