"","BIRD_C_corrStay_B1","BIRD_C_corrStay_B2","BIRD_C_corrStay_B3","BIRD_C_corrStay_B4","BIRD_C_corrShift_B1","BIRD_C_corrShift_B2","BIRD_C_corrShift_B3","BIRD_C_corrShift_B4","BIRD_C_incorrStay_B1","BIRD_C_incorrStay_B2","BIRD_C_incorrStay_B3","BIRD_C_incorrStay_B4","BIRD_C_incorrShift_B1","BIRD_C_incorrShift_B2","BIRD_C_incorrShift_B3","BIRD_C_incorrShift_B4"
"s001",0.645833333333333,0.75,0.541666666666667,0.635416666666667,0.135416666666667,0.104166666666667,0.1875,0.15625,0.09375,0.0520833333333333,0.114583333333333,0.0520833333333333,0.125,0.09375,0.15625,0.15625
"s002",0.927083333333333,0.645833333333333,0.875,0.9375,0.03125,0.114583333333333,0.0416666666666667,0.0416666666666667,0.0104166666666667,0.114583333333333,0.0520833333333333,0,0.0208333333333333,0.114583333333333,0.03125,0.0208333333333333
"s003",0.791666666666667,0.760416666666667,0.71875,0.875,0.104166666666667,0.09375,0.114583333333333,0.0520833333333333,0.0208333333333333,0.0625,0.0520833333333333,0.0208333333333333,0.0833333333333333,0.0833333333333333,0.114583333333333,0.0416666666666667
"s004",0.833333333333333,0.739583333333333,0.21875,0.5,0.0833333333333333,0.114583333333333,0.229166666666667,0.21875,0.0104166666666667,0,0.239583333333333,0.09375,0.0625,0.135416666666667,0.260416666666667,0.177083333333333
"s005",0.395833333333333,0.3125,0.666666666666667,0.760416666666667,0.145833333333333,0.229166666666667,0.09375,0.114583333333333,0.3125,0.21875,0.177083333333333,0.0520833333333333,0.145833333333333,0.239583333333333,0.0625,0.0729166666666667
"s006",0.666666666666667,0.604166666666667,0.895833333333333,0.864583333333333,0.15625,0.15625,0.0625,0.0729166666666667,0.0520833333333333,0.09375,0.0104166666666667,0,0.125,0.145833333333333,0.03125,0.0520833333333333
"s007",0.802083333333333,0.916666666666667,0.854166666666667,NA,0.0833333333333333,0.0416666666666667,0.0520833333333333,NA,0.0416666666666667,0.0208333333333333,0,NA,0.0729166666666667,0.0208333333333333,0.0729166666666667,NA
"s009",0.416666666666667,0.552083333333333,0.333333333333333,0.729166666666667,0.0729166666666667,0.166666666666667,0.177083333333333,0.125,0.4375,0.125,0.3125,0.0416666666666667,0.0729166666666667,0.145833333333333,0.177083333333333,0.104166666666667
"s010",0.489583333333333,0.614583333333333,0.760416666666667,0.479166666666667,0.1875,0.145833333333333,0.104166666666667,0.135416666666667,0.125,0.0625,0.0208333333333333,0.239583333333333,0.177083333333333,0.135416666666667,0.09375,0.145833333333333
"s011",0.760416666666667,0.552083333333333,0.885416666666667,0.84375,0.104166666666667,0.135416666666667,0.0625,0.0729166666666667,0.0416666666666667,0.177083333333333,0,0.03125,0.09375,0.135416666666667,0.0520833333333333,0.0520833333333333
"s012",0.447916666666667,0.25,0.3125,0.572916666666667,0.229166666666667,0.260416666666667,0.229166666666667,0.135416666666667,0.09375,0.229166666666667,0.229166666666667,0.177083333333333,0.229166666666667,0.260416666666667,0.229166666666667,0.114583333333333
"s013",0.4375,0.677083333333333,0.302083333333333,0.395833333333333,0.208333333333333,0.15625,0.270833333333333,0.1875,0.145833333333333,0.0416666666666667,0.15625,0.21875,0.208333333333333,0.125,0.270833333333333,0.1875
"s014",0.177083333333333,0.25,0.239583333333333,0.208333333333333,0.28125,0.229166666666667,0.270833333333333,0.229166666666667,0.270833333333333,0.291666666666667,0.208333333333333,0.34375,0.270833333333333,0.21875,0.28125,0.21875
"s015",0.75,0.614583333333333,0.270833333333333,0.71875,0.104166666666667,0.15625,0.239583333333333,0.09375,0.0416666666666667,0.09375,0.239583333333333,0.0833333333333333,0.104166666666667,0.135416666666667,0.25,0.09375
"s016",0.822916666666667,0.739583333333333,0.875,0.8125,0.0833333333333333,0.09375,0.0520833333333333,0.09375,0.0208333333333333,0.03125,0,0,0.0729166666666667,0.114583333333333,0.0625,0.0833333333333333
"s017",0.78125,0.6875,0.5625,0.25,0.114583333333333,0.104166666666667,0.197916666666667,0.291666666666667,0.0208333333333333,0.125,0.0729166666666667,0.177083333333333,0.0833333333333333,0.0833333333333333,0.166666666666667,0.28125
"s018",0.84375,0.75,0.270833333333333,0.583333333333333,0.0729166666666667,0.104166666666667,0.25,0.15625,0.03125,0.03125,0.21875,0.114583333333333,0.0520833333333333,0.104166666666667,0.25,0.145833333333333
"s019",0.40625,0.3125,0.375,0.302083333333333,0.114583333333333,0.125,0.135416666666667,0.145833333333333,0.364583333333333,0.40625,0.333333333333333,0.40625,0.114583333333333,0.135416666666667,0.145833333333333,0.135416666666667
"s020",0.958333333333333,0.3125,0.3125,0.8125,0.0208333333333333,0.177083333333333,0.166666666666667,0.09375,0,0.322916666666667,0.354166666666667,0.0104166666666667,0.0208333333333333,0.177083333333333,0.166666666666667,0.0833333333333333
"s021",0.489583333333333,0.791666666666667,0.708333333333333,0.510416666666667,0.09375,0.09375,0.114583333333333,0.125,0.239583333333333,0.03125,0.0520833333333333,0.229166666666667,0.135416666666667,0.0833333333333333,0.104166666666667,0.125
"s022",0.708333333333333,0.791666666666667,0.864583333333333,0.864583333333333,0.104166666666667,0.0729166666666667,0.0625,0.0625,0.104166666666667,0.0625,0.0104166666666667,0.0104166666666667,0.0833333333333333,0.0729166666666667,0.0625,0.0520833333333333
"s023",0.229166666666667,0.28125,0.25,0.25,0.229166666666667,0.239583333333333,0.21875,0.208333333333333,0.3125,0.21875,0.3125,0.322916666666667,0.229166666666667,0.260416666666667,0.21875,0.21875
"s024",0.65625,0.625,0.739583333333333,0.78125,0.145833333333333,0.15625,0.0833333333333333,0.0833333333333333,0.0625,0.0833333333333333,0.0416666666666667,0.0729166666666667,0.135416666666667,0.135416666666667,0.104166666666667,0.0520833333333333
"s025",0.291666666666667,0.5,0.895833333333333,0.75,0.145833333333333,0.166666666666667,0.0625,0.0833333333333333,0.4375,0.177083333333333,0,0.0729166666666667,0.125,0.15625,0.0416666666666667,0.09375
"s027",0.833333333333333,0.791666666666667,0.854166666666667,0.395833333333333,0.0729166666666667,0.0833333333333333,0.0625,0.197916666666667,0.0104166666666667,0.0208333333333333,0.0208333333333333,0.177083333333333,0.0729166666666667,0.0833333333333333,0.0520833333333333,0.197916666666667
"s028",0.635416666666667,0.229166666666667,0.447916666666667,0.239583333333333,0.135416666666667,0.21875,0.114583333333333,0.25,0.104166666666667,0.34375,0.322916666666667,0.25,0.114583333333333,0.208333333333333,0.104166666666667,0.260416666666667
"s029",0.822916666666667,0.84375,0.395833333333333,0.78125,0.0833333333333333,0.0833333333333333,0.25,0.0833333333333333,0.0416666666666667,0.0104166666666667,0.135416666666667,0.03125,0.0520833333333333,0.0625,0.208333333333333,0.09375
"s030",0.604166666666667,0.791666666666667,0.197916666666667,0.75,0.145833333333333,0.0833333333333333,0.25,0.114583333333333,0.114583333333333,0.0416666666666667,0.302083333333333,0.0416666666666667,0.135416666666667,0.0833333333333333,0.239583333333333,0.09375
"s031",0.479166666666667,0.791666666666667,0.697916666666667,0.645833333333333,0.125,0.09375,0.125,0.114583333333333,0.25,0.0520833333333333,0.0104166666666667,0.0520833333333333,0.125,0.0625,0.145833333333333,0.145833333333333
"s032",0.75,0.135416666666667,0.541666666666667,0.458333333333333,0.09375,0.229166666666667,0.177083333333333,0.208333333333333,0.0416666666666667,0.385416666666667,0.09375,0.145833333333333,0.09375,0.229166666666667,0.166666666666667,0.1875
"s033",0.822916666666667,0.75,0.625,0.333333333333333,0.0833333333333333,0.114583333333333,0.135416666666667,0.21875,0.0208333333333333,0.03125,0.114583333333333,0.239583333333333,0.0729166666666667,0.104166666666667,0.125,0.208333333333333
"s034",0.208333333333333,0.802083333333333,0.572916666666667,0.729166666666667,0.229166666666667,0.0833333333333333,0.166666666666667,0.125,0.302083333333333,0.03125,0.104166666666667,0.0104166666666667,0.25,0.0833333333333333,0.15625,0.125
"s035",0.364583333333333,0.375,0.427083333333333,0.427083333333333,0.125,0.145833333333333,0.104166666666667,0.177083333333333,0.34375,0.3125,0.364583333333333,0.208333333333333,0.15625,0.15625,0.104166666666667,0.166666666666667
"s036",0.53125,0.302083333333333,0.260416666666667,0.760416666666667,0.145833333333333,0.177083333333333,0.1875,0.09375,0.1875,0.34375,0.364583333333333,0.0520833333333333,0.135416666666667,0.166666666666667,0.1875,0.09375
"s037",0.447916666666667,0.489583333333333,0.822916666666667,0.854166666666667,0.15625,0.166666666666667,0.0833333333333333,0.0625,0.25,0.1875,0.0104166666666667,0.03125,0.145833333333333,0.15625,0.0729166666666667,0.0520833333333333
"s038",0.489583333333333,0.885416666666667,0.791666666666667,0.65625,0.177083333333333,0.0416666666666667,0.0625,0.135416666666667,0.114583333333333,0,0.03125,0.0520833333333333,0.166666666666667,0.0520833333333333,0.0833333333333333,0.145833333333333
"s039",0.260416666666667,0.489583333333333,0.875,0.645833333333333,0.229166666666667,0.1875,0.0520833333333333,0.145833333333333,0.302083333333333,0.125,0.0208333333333333,0.0416666666666667,0.208333333333333,0.177083333333333,0.0520833333333333,0.145833333333333
"s101",0.427083333333333,0.895833333333333,0.885416666666667,0.90625,0.166666666666667,0.0416666666666667,0.0520833333333333,0.0520833333333333,0.21875,0.03125,0.0208333333333333,0,0.177083333333333,0.03125,0.0416666666666667,0.0416666666666667
"s102",0.739583333333333,0.895833333333333,0.364583333333333,0.572916666666667,0.0833333333333333,0.0416666666666667,0.260416666666667,0.1875,0.0520833333333333,0,0.125,0.0520833333333333,0.0833333333333333,0.0520833333333333,0.25,0.177083333333333
"s103",0.739583333333333,0.5,0.791666666666667,0.541666666666667,0.09375,0.177083333333333,0.0416666666666667,0.145833333333333,0.0625,0.114583333333333,0.15625,0.15625,0.0833333333333333,0.1875,0.0104166666666667,0.145833333333333
"s104",0.8125,0.65625,NA,NA,0.0729166666666667,0.135416666666667,NA,NA,0.0416666666666667,0.0625,NA,NA,0.0729166666666667,0.135416666666667,NA,NA
"s105",0.53125,0.302083333333333,0.5,0.208333333333333,0.145833333333333,0.166666666666667,0.15625,0.208333333333333,0.1875,0.34375,0.1875,0.375,0.135416666666667,0.177083333333333,0.145833333333333,0.197916666666667
"s106",0.291666666666667,0.4375,0.770833333333333,0.614583333333333,0.208333333333333,0.197916666666667,0.114583333333333,0.135416666666667,0.302083333333333,0.177083333333333,0.0104166666666667,0.125,0.197916666666667,0.177083333333333,0.104166666666667,0.114583333333333
"s107",0.458333333333333,0.864583333333333,0.802083333333333,0.3125,0.21875,0.0729166666666667,0.09375,0.208333333333333,0.114583333333333,0,0.0416666666666667,0.260416666666667,0.208333333333333,0.0625,0.0625,0.21875
"s108",0.270833333333333,0.291666666666667,0.604166666666667,0.6875,0.197916666666667,0.21875,0.145833333333333,0.114583333333333,0.34375,0.260416666666667,0.145833333333333,0.0520833333333333,0.1875,0.229166666666667,0.104166666666667,0.135416666666667
"s109",0.78125,0.34375,0.729166666666667,0.677083333333333,0.0833333333333333,0.166666666666667,0.0833333333333333,0.125,0.03125,0.302083333333333,0.03125,0.0520833333333333,0.0833333333333333,0.177083333333333,0.114583333333333,0.114583333333333
"s110",0.666666666666667,0.427083333333333,0.552083333333333,0.520833333333333,0.166666666666667,0.197916666666667,0.15625,0.0625,0.0208333333333333,0.1875,0.145833333333333,0.34375,0.145833333333333,0.1875,0.135416666666667,0.0729166666666667
"s111",0.4375,0.645833333333333,0.333333333333333,0.270833333333333,0.135416666666667,0.145833333333333,0.260416666666667,0.260416666666667,0.260416666666667,0.0520833333333333,0.166666666666667,0.197916666666667,0.145833333333333,0.145833333333333,0.239583333333333,0.270833333333333
"s112",0.40625,0.854166666666667,0.385416666666667,0.458333333333333,0.21875,0.0833333333333333,0.177083333333333,0.114583333333333,0.177083333333333,0.0104166666666667,0.260416666666667,0.322916666666667,0.197916666666667,0.0520833333333333,0.177083333333333,0.104166666666667
"s113",0.90625,0.572916666666667,0.666666666666667,0.854166666666667,0.0520833333333333,0.145833333333333,0.114583333333333,0.0625,0,0.0625,0.125,0.0104166666666667,0.03125,0.166666666666667,0.09375,0.0625
"s114",0.75,0.760416666666667,0.854166666666667,0.895833333333333,0.125,0.104166666666667,0.0625,0.0625,0.0416666666666667,0.0416666666666667,0.0104166666666667,0.0208333333333333,0.0833333333333333,0.09375,0.0625,0.0208333333333333
"s115",0.302083333333333,0.6875,0.65625,0.854166666666667,0.208333333333333,0.125,0.114583333333333,0.0729166666666667,0.25,0.0729166666666667,0.0520833333333333,0,0.197916666666667,0.114583333333333,0.135416666666667,0.0729166666666667
"s116",0.625,0.96875,0.677083333333333,0.822916666666667,0.15625,0.0208333333333333,0.114583333333333,0.0833333333333333,0.0833333333333333,0,0.03125,0.0208333333333333,0.135416666666667,0,0.145833333333333,0.0729166666666667
"s117",0.677083333333333,0.65625,0.645833333333333,0.635416666666667,0.145833333333333,0.125,0.125,0.15625,0.0520833333333333,0.0833333333333333,0.125,0.0625,0.114583333333333,0.125,0.104166666666667,0.135416666666667
"s118",0.458333333333333,0.229166666666667,0.260416666666667,0.510416666666667,0.15625,0.21875,0.239583333333333,0.166666666666667,0.239583333333333,0.322916666666667,0.21875,0.135416666666667,0.145833333333333,0.21875,0.270833333333333,0.166666666666667
"s119",0.40625,0.354166666666667,0.291666666666667,0.28125,0.135416666666667,0.177083333333333,0.177083333333333,0.197916666666667,0.28125,0.260416666666667,0.3125,0.260416666666667,0.166666666666667,0.197916666666667,0.177083333333333,0.21875
"s120",0.802083333333333,0.760416666666667,0.885416666666667,0.6875,0.0833333333333333,0.09375,0.0520833333333333,0.135416666666667,0.0520833333333333,0.0625,0.03125,0.0625,0.0625,0.0833333333333333,0.03125,0.114583333333333
"s121",0.364583333333333,0.645833333333333,0.885416666666667,0.729166666666667,0.197916666666667,0.145833333333333,0.0625,0.09375,0.239583333333333,0.0625,0,0.0625,0.177083333333333,0.135416666666667,0.0520833333333333,0.104166666666667
"s122",0.6875,0.677083333333333,0.8125,0.666666666666667,0.114583333333333,0.125,0.0833333333333333,0.125,0.09375,0.0520833333333333,0.0208333333333333,0.104166666666667,0.104166666666667,0.135416666666667,0.0833333333333333,0.104166666666667
"s123",0.229166666666667,0.447916666666667,0.520833333333333,0.333333333333333,0.197916666666667,0.135416666666667,0.166666666666667,0.114583333333333,0.322916666666667,0.25,0.15625,0.40625,0.208333333333333,0.135416666666667,0.15625,0.125
"s124",0.697916666666667,0.4375,0.739583333333333,0.791666666666667,0.104166666666667,0.0729166666666667,0.125,0.0729166666666667,0.104166666666667,0.416666666666667,0.0104166666666667,0.0729166666666667,0.09375,0.0729166666666667,0.125,0.0625
"s125",0.8125,0.760416666666667,0.802083333333333,0.791666666666667,0.09375,0.114583333333333,0.09375,0.09375,0,0.0416666666666667,0.0104166666666667,0,0.0833333333333333,0.0833333333333333,0.09375,0.104166666666667
"s126",0.677083333333333,0.489583333333333,0.78125,0.395833333333333,0.125,0.197916666666667,0.104166666666667,0.166666666666667,0.0625,0.135416666666667,0.0104166666666667,0.291666666666667,0.125,0.177083333333333,0.104166666666667,0.135416666666667
"s127",0.9375,0.854166666666667,0.645833333333333,0.489583333333333,0.03125,0.0729166666666667,0.145833333333333,0.1875,0,0,0.0416666666666667,0.125,0.03125,0.0729166666666667,0.15625,0.1875
"s128",0.885416666666667,0.552083333333333,0.635416666666667,0.927083333333333,0.0520833333333333,0.125,0.15625,0.03125,0.03125,0.21875,0.0729166666666667,0,0.03125,0.104166666666667,0.135416666666667,0.03125
"s129",0.5,0.875,0.895833333333333,0.864583333333333,0.125,0.0520833333333333,0.0416666666666667,0.0625,0.114583333333333,0,0.0104166666666667,0,0.125,0.0520833333333333,0.0416666666666667,0.0625
